flight,orig_index,time,GPS_TOW,navalt,alt,ax,ay,az,ias,h,navvn,navve,navvd,vn,ve,vd,p,q,r,label
104,6722,134.4400024,580484,260.0786647,260.229248,3.884474754,-1.31434083,-9.771137238,-1.64371419,8.992571831,-0.7338930368,-1.733670712,0.7389675975,-0.929196775,-0.3961479664,0.7854842544,-0.2254808545,-0.03416008875,0.2783162892,0
104,6723,134.4600067,580484,260.0638854,260.229248,3.851794004,-0.5300059319,-10.32670784,-2.70802021,12.62081528,-0.7611910105,-1.767670751,0.727845788,-0.929196775,-0.3961479664,0.7854842544,-0.1801022887,-0.03328742459,0.2756982744,0
104,6724,134.4799957,580484,260.0493285,260.229248,3.786432743,-0.1705190837,-11.01300049,-1.64371419,8.992571831,-0.7741219401,-1.796685934,0.7057358623,-0.929196775,-0.3961479664,0.7854842544,-0.2708594203,-0.04375939816,0.2451550215,0
104,6725,134.5,580484,260.0352137,260.229248,3.68839097,0.02556463704,-10.81691647,-3.961781025,10.73396969,-0.7812849283,-1.820549846,0.6704124212,-0.929196775,-0.3961479664,0.7854842544,-0.2752227485,-0.07081200182,0.2320650518,0
104,6726,134.5200043,580484,260.0218055,260.229248,3.982516527,-0.3992834091,-10.68619442,-3.043545485,8.992571831,-0.7853572965,-1.843146205,0.6392785907,-0.929196775,-0.3961479664,0.7854842544,-0.3267099559,-0.05074071512,0.2093757689,0
104,6727,134.5399933,580484,260.0090199,260.229248,4.407364368,-1.445063233,-9.803817749,-2.891816139,7.106386185,-0.7975474596,-1.873777509,0.6097291112,-0.929196775,-0.3961479664,0.7854842544,-0.3110019863,0.01558179501,0.221593082,0
104,6728,134.5599976,580484,259.9968253,260.229248,4.407364368,-1.020215154,-9.934539795,-3.064608097,12.62081528,-0.8286506534,-1.920325041,0.5964450836,-0.929196775,-0.3961479664,0.7854842544,-0.2507881224,0.1220468804,0.2277017236,0
104,6729,134.5800018,580485,259.2980779,260.1075134,4.453146935,-0.2968635857,-10.94072247,-3.022336483,12.62081528,-2.140732765,-2.213567734,1.735215425,-2.250787973,-2.256980419,1.969994783,-0.2361802459,0.1791404784,0.2325119376,0
104,6730,134.6000061,580485,259.2633736,260.1075134,4.093659878,0.5201519132,-11.56165409,-3.586838961,7.106386185,-2.171205044,-2.245452166,1.69932735,-2.250787973,-2.256980419,1.969994783,-0.19341968,0.1869944632,0.2621825337,0
104,6731,134.6199951,580485,259.229387,260.1075134,4.126340866,0.8796387315,-11.07144547,-2.70802021,7.106386185,-2.184175014,-2.27175045,1.651844382,-2.250787973,-2.256980419,1.969994783,-0.1855656952,0.2219010442,0.28138116,0
104,6732,134.6399994,580485,259.1963501,260.1075134,3.962937593,0.8142774701,-9.862261772,-2.51080513,10.73396969,-2.190701723,-2.301963568,1.613187075,-2.250787973,-2.256980419,1.969994783,-0.175966382,0.2105564177,0.2997071147,0
104,6733,134.6600037,580485,259.1640864,260.1075134,3.864895582,0.7162356377,-8.456995964,-3.043545485,12.62081528,-2.197630405,-2.333309174,1.598701119,-2.250787973,-2.256980419,1.969994783,-0.1777117103,0.1721591651,0.3136697412,0
104,6734,134.6799927,580485,259.1321124,260.1075134,3.015199661,0.1933456957,-7.934105396,-3.710251331,16.25032806,-2.205858231,-2.368086576,1.611920238,-2.250787973,-2.256980419,1.969994783,-0.1742210537,0.1468518972,0.3354863524,0
104,6735,134.6999969,580485,259.099874,260.1075134,2.165503502,0.0626232177,-8.358953476,-1.89799571,10.73396969,-2.21924901,-2.386056423,1.639887094,-2.250787973,-2.256980419,1.969994783,-0.1419324726,0.1128179729,0.3660296202,0
104,6736,134.7200012,580485,259.0670762,260.1075134,1.806016564,-0.1334605068,-7.574618816,-2.122021675,10.73396969,-2.230512857,-2.384837389,1.663836598,-2.250787973,-2.256980419,1.969994783,-0.09219058603,0.06743941456,0.3878462315,0
104,6737,134.7400055,580485,259.0337995,260.1075134,2.198184013,-0.7543922663,-6.692242146,-3.022336483,8.992571831,-2.24358964,-2.379450321,1.704998136,-2.250787973,-2.256980419,1.969994783,0.007293184288,-0.03640767932,0.4079175293,0
